rosbagTimestamp,Fx,Fy,Fz,Tx,Ty,Tz
1471539672636547139,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539672638043330,-335907.0,-276728.0,-8753865.0,-2227.0,82532.0,-11337.0
1471539672643561142,-335816.0,-252488.0,-8753650.0,-1934.0,82538.0,-12133.0
1471539672645051671,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539672647238125,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539672648775216,-338105.0,-251512.0,-8716883.0,-4406.0,83980.0,-12168.0
1471539672656568989,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539672658032549,-335816.0,-252488.0,-8753650.0,-1934.0,82538.0,-12133.0
1471539672666048690,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539672667066671,-378150.0,-251614.0,-8789638.0,-1961.0,85920.0,-12175.0
1471539672682129244,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539672682613840,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539672686559054,-337292.0,-252031.0,-8789323.0,-3152.0,83255.0,-12100.0
1471539672688037345,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539672703584422,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539672705036665,-334339.0,-252945.0,-8717976.0,-717.0,81821.0,-12165.0
1471539672707215998,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539672708791317,-356566.0,-287947.0,-8753847.0,-1165.0,84947.0,-12184.0
1471539672717083851,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539672718553527,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539672726064138,-356475.0,-263708.0,-8753632.0,-873.0,84954.0,-12980.0
1471539672727058046,-335816.0,-252488.0,-8753650.0,-1934.0,82538.0,-12133.0
